Ticker,Name,Sector,Market_cap,EPS,PE_ratio,ROE,PB_ratio,Div_payout,PS_ratio,FCF,Debt_to_equity
4SI.JO,4Sight Holdings Ltd,Technology,158167674.88,-0.015,1670.7868476875,0.02316,51.72414,0.0,32.01226,1271869.84,4.158
ABG.JO,Absa Group Limited,Financial Services,133950309662.72,16.349,987.15515,0.11218,110.10596,0.0,186.48239,-2810093.5235294118,53.87720588235294
ABSP.JO,ABSA Bank Ltd Pref,Financial Services,3631238021.12,17.941,4514.7983,0.09397,391.9652,0.29707872325531914,7.5106273,-2810093.5235294118,53.87720588235294
ACL.JO,ArcelorMittal SA Limited,Basic Materials,10588795699.2,2.326,408.42648,0.84142,230.07991,0.0,33.911274,19444999.68,148.718
ACS.JO,Acsion Limited,Real Estate,1647767879.68,1.494,280.45517,0.08583,21.17124,0.0,225.91226,1832291.2,15.684
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,2917781340.16,0.511,998.0431,0.15491,125.58484,0.6361,36.122425,1247282.48,30.589
ACZ.JO,Arden Capital Limited,Consumer Cyclical,2189840.0,-2.603,3200.934360714286,-0.24354,3.220612,0.0,7.2532864,-106444.98,2.916
ADH.JO,ADvTECH Ltd,Consumer Defensive,9619250216.96,1.084,1628.2288,0.15461001,236.4367,0.18450001,173.93092,8274124.8,46.645
ADI.JO,Adapt IT Holdings Ltd,Industrials,967697121.28,0.503,1401.5905,0.089090005,120.492226,0.0,64.36819,2515490.72,65.739
ADR.JO,Adcorp Holdings Limited,Industrials,575664005.12,0.275,1949.0908,0.01551,42.753452,0.0,5.055425,262417.5,50.37
ADW.JO,African Dawn Capital Ltd,Financial Services,20367008.0,-0.226,2640.3947586956524,0.1283900003469388,1203.0324925,0.0,239.18976,-2810093.5235294118,53.87720588235294
AEE.JO,African Equity Emp Inv Ltd,Technology,540124200.96,-0.271,1670.7868476875,-0.045819998,19.07735,0.24895237619047622,23.090431,-3705471.36,4.068
AEG.JO,Aveng Group Limited,Industrials,3364397056.0,12.356,231.70929,0.118,2164.0212,0.0,15.640356,3672499.84,40.545
AEL.JO,Altron Limited A,Technology,3177200025.6,31.536,26.985033,0.03803,73.51417,1.1429,42.373966,-432500.0,42.024
AFE.JO,AECI Limited,Basic Materials,12912922460.16,3.929,2989.3103,0.04247,122.910934,1.4503999,52.38933,5995000.32,45.946
AFEP.JO,"AECI Limited 5,5% Pref",Basic Materials,106856232.96,3.929,356.57928,0.04247,14.6614065,0.19209999849999998,0.43352902,5995000.32,45.946
AFH.JO,Alexander Forbes Grp Hldgs,Financial Services,5778469027.84,0.118,3644.0679,0.10569999,135.56116,0.6875,138.30707,6780000.0,16.123
AFT.JO,Afrimat Limited,Basic Materials,8410679869.44,5.342,1141.8944,0.32646,312.16415,0.2767,184.57669,8140282.24,19.038
AGL.JO,Anglo American plc,Basic Materials,950317550141.44,86.05,823.1493,0.29116,2955.2737,0.18110001,2236.357,76622499.84,34.75
AHA.JO,Arrowhead Prop Ltd A,Real Estate,965868011.52,0.176,8750.0,0.01867,244.75525,0.39719999435897435,48.358467,15012450.56,66.791
AHB.JO,Arrowhead Prop Ltd B,Real Estate,3805687971.84,0.176,2272.7273,0.01867,63.572792,0.39719999435897435,190.54077,15012450.56,66.791
AHL.JO,AH-Vest Limited,Consumer Defensive,53025960.96,0.1,520.0,0.25804,119.815674,8.0689,29.425722,-23172.9,98.379
AIL.JO,African Rainbow Cap Inv,Financial Services,9619720765.44,0.73,1000.0,0.08428001,82.476555,0.0,1044.4865,5706250.24,53.87720588235294
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,8134810009.6,3.961,1269.6289,0.1436,173.7313,0.202,104.60284,1111836.24,6.311
ALH.JO,Alaris Holdings Ltd,Technology,504206417.92,0.383,1065.2742,0.19236,190.12117,0.0,153.57866,289346.24,9.502
AME.JO,African Media Ent Ltd,Communication Services,283612672.0,0.949,3793.4668,0.04277,119.37923,1.0519999,125.83197,209960.0,61.18921428571429
AMS.JO,Anglo American Plat Ltd,Basic Materials,456042647388.16,266.403,647.2374,0.80764,394.1769,0.1713,224.47684,452652482.56,3.855
ANG.JO,Anglogold Ashanti Ltd,Basic Materials,123479858872.32,33.746,876.7558,0.27438,3236.7356,0.2148,2787.9849,7408750.08,54.505
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Defensive,1811218578800.64,39.615,2631.9575,0.137499599998,3009.178,0.4181,3425.602,7309577.567037038,113.923
ANI.JO,Afine Investments Ltd,Real Estate,272000000.0,0.4327647058823531,1411.27358334375,0.02961041621875,597.8926208265307,0.39719999435897435,6299.832352509804,1611233.3044,93.16957142857143
AON.JO,African & Over Ent Ltd -N,Consumer Cyclical,74210995.2,-4.471,3200.934360714286,0.08354,63.807346,0.0,15.960692,1236077.52,125.558
AOO.JO,African & Over Ent Ltd,Consumer Cyclical,21200000.0,-4.471,3200.934360714286,0.08354,149.05959,0.0,4.559522,1236077.52,125.558
APF.JO,Accelerate Prop Fund Ltd,Real Estate,1131652956.16,-0.71,1411.27358334375,-0.106929995,18.387096,0.0,115.76965,-7745212.8,103.484
APH.JO,Alphamin Resources Corp,Basic Materials,21694486937.6,0.321,5573.2085,0.16237,10222.857,0.0,7801.212,699452.32,15.623
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,98966521774.08,10.528,2065.2546,0.07116,150.8014,0.0,262.0519,89459998.72,37.951
ARA.JO,Astoria Investments Ltd,Financial Services,283852001.28,2.679,186.63681,0.53319,875.6568,0.0,2787.8726,60309.69,53.87720588235294
ARH.JO,ARB Holdings Limited,Technology,1739000053.76,0.814,909.0909,0.16614,140.73793,0.0,59.495323,2069495.04,13.016
ARI.JO,African Rainbow Min Ltd,Basic Materials,45473018675.2,63.99,362.85355,0.39731,113.13042,0.26569998,231.33243,23506250.24,3.356
ARL.JO,Astral Foods Ltd,Consumer Defensive,6487169433.6,12.17,1372.6376,0.11098,155.24516,0.90790004,40.887398,1905012.48,18.44
ART.JO,Argent Industrial Ltd,Basic Materials,764347760.64,2.849,466.47946,0.14936,64.36771,0.0,35.513977,218823.76,18.427
ASC.JO,Ascendis Health Ltd,Healthcare,399640043.52,-2.265,3518.170847,-1.67082,115.76011,0.0,17.928434,-46610698.24,1359.719
ATI.JO,Afristrat Inv Hldgs Ltd,Industrials,594458992.64,-0.005,1211.8949705263158,0.07165000008888889,311.34461130434784,0.0,-404.38013,9097657.18068182,106.65353333333334
ATT.JO,Attacq Limited,Real Estate,5408300728.32,0.216,3550.9258,0.01358,48.68605,0.0,219.76573,640593.76,91.65
AVI.JO,AVI Ltd,Consumer Defensive,25086611947.52,4.974,1527.9453,0.34939,569.886,0.8243,189.05896,18145625.6,43.588
AVL.JO,Advanced Health Ltd,Healthcare,274331750.4,-0.052,3518.170847,0.00345,504.58716,0.0,40.3029,709744.96,353.763
AVV.JO,Alviva Holdings Ltd,Technology,2051374940.16,2.589,695.6354,0.12347999,84.94482,0.0579,13.773963,74161.25,59.545
AYO.JO,Ayo Tech Solutions Ltd,Technology,1359289794.56,-0.596,1670.7868476875,-0.06537,35.28676,0.24895237619047622,79.982124,-5449667.2,3.844
BAT.JO,Brait PLC,Financial Services,6045554442.24,0.997,459.37814,0.12276,1139.3035,0.0,5962.6187,387103.52,62.83
BAU.JO,Bauba Resources Limited,Basic Materials,277432299.52,-0.047,1487.5311742424242,-0.08891,83.333336,0.0,100.11992,-1172323.76,34.804
BAW.JO,Barloworld Ltd,Industrials,27314967019.52,13.758,1001.381,0.1362,128.7859,0.0992,65.73525,61977497.6,63.575
BCF.JO,Bowler Metcalf Ltd,Consumer Cyclical,845058867.2,1.273,926.1587,0.12942,115.328186,0.3841,132.97334,199137.5,0.218
BEL.JO,Bell Equipment Ltd,Industrials,1233619271.68,1.539,838.2066,0.04681,34.361515,0.0,16.547428,8532840.96,30.861
BHP.JO,BHP Group Plc,Basic Materials,1062519040901.12,35.438,1419.5779,0.2496,4962.711,0.6935,1735.2632,189752504.32,38.79
BID.JO,BID Corporation Ltd,Consumer Defensive,110923968675.84,9.232,3595.1038,0.11273,398.05234,0.0,96.620766,38968000.0,50.256
BIK.JO,Brikor Ltd,Industrials,322576793.6,0.031,1290.3226,0.24518,277.7778,0.0,114.19496,161810.0,25.768
BLU.JO,Blue Label Telecoms Ltd,Communication Services,4627702415.36,0.914,563.45734,0.29823,140.86433,0.0,25.09782,13047787.52,55.063
BRN.JO,Brimstone Inv Corp Ltd-N,Consumer Defensive,1371019018.24,0.986,659.2292,0.114829995,69.91502,0.0,27.996943,752113.76,99.658
BRT.JO,Brimstone Inv Corp Ltd,Consumer Defensive,239610142.72,0.986,659.2292,0.114829995,69.91502,0.0,4.8929677,752113.76,99.658
BTI.JO,British American Tob plc,Consumer Defensive,1512820357201.92,57.801,1140.5858,0.09585,2397.1711,0.9768,5891.0454,49457500.16,71.248
BUC.JO,Buffalo Coal Corp,Energy,320228270.08,-0.005,1486.8909039999999,-0.202518021,649.9619150999999,0.0,93.57913,276799.66,59.7057
BVT.JO,Bidvest Ltd,Industrials,65853299097.6,11.305,1713.8434,0.14861,257.86572,0.2568,74.56654,84421386.24,90.09
BWN.JO,Balwin Properties Ltd,Real Estate,1544191180.8,0.79,416.4557,0.11852,47.612156,0.45369998,50.083977,-5523661.44,78.05
BYI.JO,Bytes Technology Group,Technology,25624573378.56,2.002,5344.6553,0.52098,69934.64,0.0,6047.725,501845.0,3.5
CAC.JO,Cafca Limited,Industrials,905251225.6,0.138,840.5797,-0.14285,229.70297,0.76089996,194.60926985909092,9097657.18068182,7.559
CAT.JO,Caxton CTP Publish Print,Communication Services,3163906703.36,1.481,596.894,0.09671,51.497143,0.0,60.606422,4060062.4,0.334
CATP.JO,Caxton CTP Publish 6%Pf,Communication Services,30469944.32,1.481,6448.3457,0.09671,556.3323,0.0,0.583669,4060062.4,0.334
CCO.JO,Capital&Counties Prop plc,Real Estate,31931252080.64,-9.219,1411.27358334375,-0.19976999,1927.5437,0.0,45812.414,896750.0,56.951
CFR.JO,Compagnie Fin Richemont,Consumer Cyclical,1286507541299.2,7.472,3043.8972,0.13611001,7048.032,0.4186,7762.6714,29105000.96,78.669
CGN.JO,Cognition Holdings Ltd,Industrials,171954749.44,0.009,8333.334,0.048010003,78.78151,0.0,74.58053,290104.52,106.65353333333334
CGR.JO,Calgro M3 Hldgs Ltd,Consumer Cyclical,485600010.24,0.84,476.1905,0.12708999,55.332687,0.0,45.831573,261570.4,105.427
CHP.JO,Choppies Enterprises Ltd,Consumer Defensive,994555084.8,0.07,1100.0,0.137499599998,355.1564760384615,0.0,18.656906,1014540.0,59.40092307692308
CKS.JO,Crookes Brothers Ltd,Consumer Defensive,610419343.36,-0.583,6503.456660916666,0.01276,58.91279,0.8028500015384616,90.89559,1616456.32,32.4
CLH.JO,City Lodge Hotels Ltd,Consumer Cyclical,3179313561.6,-1.61,3200.934360714286,-1.06948,348.58932,0.0,623.40826,-8694541.44,227.451
CLI.JO,Clientele Ltd,Financial Services,3520880967.68,1.169,898.20355,0.37458,325.78342,0.8129,122.786896,3453302.4,10.182
CLS.JO,Clicks Group Ltd,Healthcare,75543153213.44,7.438,4136.058,0.38285,1572.0782,0.7648,202.31686,27551833.6,60.828
CMH.JO,Combined Motor Hldgs Ltd,Consumer Cyclical,1855089541.12,4.445,557.93024,0.37587002,191.98018,0.5061,17.611015,3917873.6,120.593
CML.JO,Coronation Fund Mngrs Ld,Financial Services,18280496496.64,4.879,1071.1211,0.76874,806.73047,0.9203,423.84644,113492500.48,24.051
CMO.JO,Chrometco Ltd,Basic Materials,152545792.0,-0.078,1487.5311742424242,-5.43333,1373.5304376375,0.0,13.64516,-919488.72,38.22526315789474
CND.JO,Conduit Capital Ltd,Financial Services,468027637.76,-0.211,2640.3947586956524,-1.51274,2615.3845,0.0,44.409744,-539958.76,399.716
COH.JO,Curro Holdings Limited,Consumer Defensive,7384830443.52,0.011,112272.73,-0.00097000005,106.273125,0.0,224.59947,-2106249.92,45.255
CPI.JO,Capitec Bank Hldgs Ltd,Financial Services,243163579023.36,66.927,3142.2295,0.26708,762.17194,0.239,1162.5182,-2810093.5235294118,53.87720588235294
CPIP.JO,Capitec Bank Hldgs Pref,Financial Services,1698454568.96,66.927,164.34323,0.26708,39.862717,0.29707872325531914,8.119984,-2810093.5235294118,53.87720588235294
CRP.JO,Capital & Regional Plc,Real Estate,2084040048.64,-24.746,1411.27358334375,-0.67609,1112.0918,0.0,2964.495,64875.0,377.348
CSB.JO,Cashbuild Ltd,Consumer Cyclical,6131287982.08,29.326,922.3897,0.28256,240.26718,0.3396,48.60073,9402435.2,65.171
CSG.JO,CSG Holdings Ltd,Industrials,176400506.88,0.117,290.5983,0.0975,40.332146,0.0,11.114419,-418252.48,28.019
CTA.JO,CAPITAL APPRECIATION LTD,Technology,2433260093.44,0.132,1515.1515,0.118389994,171.52658,0.41669998,330.96124,450622.48,1.075
DCP.JO,Dis-Chem Pharmacies Ltd,Healthcare,30265979699.2,0.902,3902.439,0.2793,990.43335,0.3448,106.54349,16598164.48,135.656
DGH.JO,Distell Group Hldgs Ltd,Consumer Defensive,37279005409.28,8.778,1930.1664,0.15685001,284.85684,0.0,186.84683,28098629.12,34.626
DIA.JO,Dipula Income Fund A,Real Estate,2461161226.24,0.801,1161.0487,0.08623,90.30879,0.73690003,187.30927,2519422.56,64.02
DIB.JO,Dipula Income Fund B,Real Estate,1058563932.16,0.801,499.3758,0.08623,38.84249,0.56310004,80.56312,2519422.56,64.02
DKR.JO,Deutsche Konsum REIT-AG,Real Estate,720695951.36,33.075,61.980347,0.21283,154.00797,0.2299,861.6436,-250662.88,132.318
DLT.JO,Delta Property Fund Ltd,Real Estate,449964892.16,-0.302,1411.27358334375,-0.05947,12.321533,0.0,31.503572,1424584.96,131.917
DNB.JO,Deneb Investments Ltd,Industrials,779854643.2,0.363,493.11295,0.11133,49.13533,0.28280002,26.509085,1205721.28,63.206
DRA.JO,DRA Global Ltd,Industrials,1817269370.88,3.557,943.2106,0.07165000008888889,845.72723,0.12270000069767442,168.99942,9097657.18068182,19.116
DRD.JO,DRD Gold Ltd,Basic Materials,10928356720.64,16.72,76.43541,0.32501,22.673243,0.4486,207.40855,7373125.12,1.137
DSBP.JO,Discovery Ltd B pref,Financial Services,992515194.88,4.754,2030.2902,0.07079,138.91367,0.29707872325531914,1.2703218,-131928750.08,43.278
DSY.JO,Discovery Ltd,Financial Services,94494387077.12,4.754,3026.2935,0.07079,207.06082,0.0,120.94352,-131928750.08,43.278
DTC.JO,Datatec Ltd,Technology,8016598138.88,0.918,4025.0544,0.02664,1289.7034,1.1819999,182.04778,265870.0,99.706
EEL.JO,Efora Energy Limited,Energy,132459601.92,-0.411,1486.8909039999999,-2.3300102,444.44443,0.0,7.8178806,184872.5,59.7057
ELI.JO,Ellies Holdings Ltd,Technology,281889996.8,0.014,2500.0,0.009649999,179.48718,0.0,27.27995,-24023.75,104.765
EMH.JO,E Media Holdings Ltd,Communication Services,270618752514.9257,58.181285714285714,1916.247661846154,0.0841,736.7215752142857,0.2929,3787.574549928571,9243139.84,14.143
EMI.JO,Emira Property Fund Ltd,Real Estate,5093265571.84,0.955,1039.7906,0.06279,65.42795,0.8615,269.06357,5077699.84,72.392
EMN.JO,E Media Holdings Ltd -N-,Communication Services,1450217963.52,0.449,857.461,0.0841,63.395355,0.2929,49.994293,9243139.84,14.143
ENX.JO,enX Group LImited,Industrials,1414662717.44,1.653,471.86932,0.06414,53.889732,0.0,32.63659,-4814732.48,82.031
EOH.JO,EOH Holdings Ltd,Technology,1130678599.68,-1.66,1670.7868476875,-1.00112,717.3447,0.0,16.44812,1203433.76,1535.953
EPE.JO,EPE Capital Partners Ltd,Financial Services,1305524961.28,0.018,28166.668,0.00271,76.05761,0.0,4012.9253,46291.25,9.087
EPP.JO,EPP N.V.,Real Estate,10486788259.84,-1.076,1411.27358334375,-0.05629,1127.9297,0.0,6645.8726,279925.0,157.926
EPS.JO,Eastern Platinum Ltd,Basic Materials,537501859.84,0.481,810.8108,0.04091,409.234,0.0,785.69507,-132041.25,60.164
EQU.JO,Equites Prop Fund Ltd,Real Estate,16655887892.48,2.625,870.8571,0.15112,129.64328,0.58599997,1140.8595,1221916.24,44.016
ETO.JO,Etion Limited,Technology,242696724.48,0.205,209.7561,0.09352,56.5046,0.0,36.267563,-335887.52,13.536
EUZ.JO,Europa Metals Limited,Basic Materials,87043655.68,-0.804,1487.5311742424242,-1.3224499,2244.898,0.0,58997.848,-16537.49,5.691
EXP.JO,Exemplar REITail Ltd,Real Estate,3189993635.84,1.025,936.5854,0.09402,87.04325,0.8296,355.01178,78515.83,68.717
EXX.JO,Exxaro Resources Ltd,Energy,61649599856.64,44.601,391.98672,0.25636998,108.749466,0.48400003,205.56718,33632499.2,22.97
FBR.JO,Famous Brands Ltd,Consumer Cyclical,7865856819.2,3.923,2001.0195,3.2978,2266.1663,0.0,138.51051,1235596.24,364.605
FFA.JO,Fortress REIT Ltd A,Real Estate,14931838894.08,1.559,822.322,0.13171,104.54212,0.1475,379.03494,2367473.76,61.687
FFB.JO,Fortress REIT Ltd B,Real Estate,3389324328.96,1.559,230.91725,0.13171,29.356602,0.0,86.035774,2367473.76,61.687
FGL.JO,Finbond Group Ltd,Financial Services,854124953.6,-0.245,2640.3947586956524,-0.13655,90.99181,0.0,49.086033,1116946.24,197.694
FSR.JO,Firstrand Ltd,Financial Services,361273774571.52,4.769,1350.8073,0.17704001,227.58426,0.2307,380.63675,-2810093.5235294118,53.87720588235294
FTH.JO,Frontier Transport Hldg Ld,Industrials,1450000056.32,0.856,584.1121,0.19205,109.02747,0.514,75.60203,3074582.4,23.34
FVT.JO,Fairvest Property Hldgs,Real Estate,2188075991.04,0.295,735.59326,0.1402,94.34783,0.6949,397.75027,2127117.44,52.187
GFI.JO,Gold Fields Ltd,Basic Materials,139282800967.68,16.742,937.164,0.28254,3567.531,0.2914,3379.5022,5028499.84,44.236
GLI.JO,Go Life International Ld,Healthcare,9000000.0,-0.005,3518.170847,-0.016953333333333334,574.61303775,0.0,232.59933657500002,978.08,195.02266666666665
GLN.JO,Glencore plc,Basic Materials,1151985642373.12,2.381,3666.9465,0.04476,3074.296,0.375,697.4039,108109998.08,100.599
GML.JO,Gemfields Group Limited,Basic Materials,4359475036.16,-0.204,1487.5311742424242,-0.025,1008.1081,0.0,3732.3313,251702.5,8.48
GND.JO,Grindrod Ltd,Industrials,3257973145.6,-0.892,1211.8949705263158,-0.06762,42.791603,0.0,84.61059,29721866.24,61.754
GNDP.JO,Grindrod Ltd Pref,Industrials,47612743.68,-0.892,1211.8949705263158,-0.06762,742.8975,0.12270000069767442,1.236518,29721866.24,61.754
GPL.JO,Grand Parade Inv Ltd,Consumer Cyclical,1236582973.44,-0.068,3200.934360714286,-0.01822,69.84924,0.0,73.789375,-209620.0,43.685
GRT.JO,Growthpoint Prop Ltd,Real Estate,49716223016.96,-0.153,1411.27358334375,0.0057,74.86165,0.39719999435897435,378.7614,42077498.88,82.092
GSH.JO,Grindrod Shipping Hldg Ltd,Industrials,5167672197.12,41.787,664.53687,0.23048,1843.5239,0.0,1217.3063,999723.76,101.798
GTC.JO,Globe Trade Centre S.A.,Real Estate,9711100231.68,-0.796,1411.27358334375,-0.02095,988.63074,0.0,5958.827,-59487.5,133.78
HAR.JO,Harmony GM Co Ltd,Basic Materials,34699487477.76,8.25,688.8485,0.18773001,112.34778,0.1333,83.1464,-4770000.0,11.604
HCI.JO,Hosken Cons Inv Ltd,Industrials,6226181488.64,-5.317,1211.8949705263158,0.09252,49.73257,0.0,35.73949,19017909.76,87.512
HDC.JO,Hudaco Industries Ltd,Industrials,3982148894.72,15.398,854.007,0.20841,150.44044,0.2676,56.882664,7857611.52,43.661
HET.JO,Heriot REIT Limited,Real Estate,2937053839.36,1.226,938.0098,0.11046,100.656456,0.39719999435897435,582.5939,1902049.92,61.87
HIL.JO,Homechoice Int plc,Consumer Cyclical,3249907630.08,1.686,1832.7402,0.05619,99.35372,0.0,116.77713,-2298750.08,36.583
HLM.JO,Hulamin Ltd,Basic Materials,1419081646.08,0.282,1631.2057,0.037469998,57.320873,0.0,13.679245,-1524793.76,33.72
HMN.JO,Hammerson plc,Real Estate,33220628316.16,-5.182,1411.27358334375,-0.309,1100.8772,0.39719999435897435,12617.025,2926750.08,75.518
HUG.JO,Huge Group Ltd,Communication Services,597280317.44,2.947,116.728874,0.41939,39.74122,0.0,246.95341,859218.8,8.052
HUL.JO,Hulisani Limited,Utilities,215000002.56,0.68,632.3529,0.09079,55.298355,0.088199995,338.30032,130868.75,26.014
HYP.JO,Hyprop Inv Ltd,Real Estate,12841726771.2,-2.969,1411.27358334375,-0.043390002,59.669018,0.39719999435897435,462.37787,-4224416.32,28.729
IAP.JO,Irongate Group,Real Estate,12009255731.2,1.063,1750.7056,0.29006,1230.8202,0.785,19118.58,-397455.28,42.237
ILE.JO,Imbalie Beauty Limited,Consumer Defensive,27680798.72,-0.005,6503.456660916666,0.07698,95.2381,0.0,930.7599,185513.76,11.217
ILU.JO,Indluplace Properties Ltd,Real Estate,1067882250.24,-0.344,1411.27358334375,-0.04657,48.738533,0.39719999435897435,177.71957,-41040.39,66.192
IMP.JO,Impala Platinum Hlgs Ltd,Basic Materials,176589929185.28,59.57,364.78094,0.6166,201.39017,0.235,136.28395,319083745.28,1.465
INL.JO,Investec Ltd,Financial Services,23271519027.2,8.695,1000.23004,0.08151,1680.5796,0.5573,1341.2445,-2810093.5235294118,53.87720588235294
INLP.JO,Investec Bank Ltd Pref,Financial Services,38201763.84,59.559,166.80939,0.11076,14.284584,0.29707872325531914,0.29325065,-2810093.5235294118,53.87720588235294
INP.JO,Investec plc,Financial Services,61150891868.16,8.695,1010.3508,0.08151,1697.5845,0.3268,3524.4067,-2810093.5235294118,53.87720588235294
INPP.JO,Investec plc Pref,Financial Services,1050442792.96,0.66,16666.666,0.1283900003469388,1616.9337,0.29707872325531914,333.74948,-2810093.5235294118,53.87720588235294
INPPR.JO,Investec plc Pref (Rand),Financial Services,844431441.92,8.695,920.6441,0.08151,1546.8599,0.29707872325531914,48.668465,-2810093.5235294118,53.87720588235294
IPF.JO,Investec Property Fund Ltd,Real Estate,10182212976.64,0.638,1982.7585,0.06264,75.66242,1.2333,685.79376,40514429.44,71.828
IPL.JO,Imperial Logistics Ltd,Industrials,12768086589.44,4.89,1320.8589,0.06662,178.08597,0.4511,24.456188,45558748.16,130.919
ISA.JO,ISA Holdings Limited,Technology,132915998.72,0.083,1132.5302,0.21505,233.83084,1.0921,197.45082,71072.5,97.66752380952381
ISB.JO,Insimbi Ind Hldgs Ltd,Industrials,413880975.36,0.195,512.82056,0.16608,73.31378,0.0,6.9905415,-325588.56,114.657
ITE.JO,Italtile Ltd,Consumer Cyclical,19467040194.56,1.401,1142.0414,0.29885998,306.396,0.2926,213.1039,7820000.0,13.511
IVT.JO,Invicta Holdings Ltd,Industrials,3403045273.6,6.509,475.49548,0.09956,88.16659,0.16950001,48.891323,17040051.2,34.986
IVTP.JO,Invicta Hldgs Ltd pref,Industrials,5634581071.805218,6.509,1310.6469,0.09956,243.02074,0.12270000069767442,194.60926985909092,17040051.2,34.986
JBL.JO,Jubilee Metals Group plc,Basic Materials,8090767196.16,0.381,874.01575,0.34874,5644.068,0.0,6090.37,-161124.76,6.841
JSC.JO,Jasco Electron Hldgs Ltd,Industrials,79846917.12,0.029,1241.3794,-0.46236,264.70587,0.0,12.125189,335007.5,555.647
JSE.JO,JSE Ltd,Financial Services,9507310796.8,7.766,1473.2167,0.17152001,249.97815,0.9257,394.56445,-4673948.8,7.335
KAL.JO,Kaap Agri Limited,Consumer Defensive,3701694791.68,4.518,1107.3484,0.14687,153.65007,0.1992,34.979107,1900068.8,63.182
KAP.JO,KAP Industrial Hldgs Ltd,Industrials,11036031713.28,0.383,1138.3812,0.11771,107.680916,0.0,46.06792,3315000.0,70.131
KBO.JO,Kibo Energy plc,Energy,205146214.4,-0.044,1486.8909039999999,-0.2343,583.3333,0.0,36879.912515044445,-26646.35,2.514
KIO.JO,Kumba Iron Ore Ltd,Basic Materials,159913481338.88,117.212,425.3831,0.77565,278.22263,0.5194,142.60037,465504993.28,0.567
